day,month,names
01,01,Mieszka Mieczysława Marii
02,01,Izydora Bazylego Grzegorza
03,01,Arlety Genowefy Danuty
04,01,Tytusa Anieli Eugeniusza
05,01,Hanny Szymona Edwarda
06,01,Kacpra Melchiora Baltazara
07,01,Juliana Lucjana Rajmunda
08,01,Seweryna Mścisława Juliusza
09,01,Marceliny Marianny Juliana
10,01,Wilhelma Dobrosława Danuty
11,01,Honoraty Teodozjusza Matyldy
12,01,Grety Arkadiusza Rajmunda
13,01,Bogumiły Weroniki Hilarego
14,01,Feliksa Domosława Niny
15,01,Pawła Arnolda Izydora
16,01,Marcelego Włodzimierza Waldemara
17,01,Antoniego Rościsława Jana
18,01,Piotra Małgorzaty
19,01,Henryka Mariusza Marty
20,01,Fabiana Sebastiana
21,01,Agnieszki Jarosława
22,01,Anastazego Wincentego
23,01,Ildefonsa Rajmunda
24,01,Felicji Franciszka Rafała
25,01,Pawła Miłosza Elwiry
26,01,Tymoteusza Michała Tytusa
27,01,Przybysława Anieli Jerzego
28,01,Walerego Radomira Tomasza
29,01,Zdzisława Franciszka Józefa
30,01,Macieja Martyny Teofila
31,01,Marceli Ludwiki Jana
01,02,Brygidy Ignacego Seweryna
02,02,Marii Miłosława
03,02,Błażeja Oskara
04,02,Andrzeja Weroniki Joanny
05,02,Agaty Adelajdy Izydora
06,02,Doroty Bogdana Pawła
07,02,Ryszarda Teodora Romana
08,02,Hieronima Sebastiana Ireny
09,02,Apolonii Eryki Cyryla
10,02,Elwiry Jacka Scholastyki
11,02,Lucjana Olgierda Grzegorza
12,02,Eulalii Radosława Modesta
13,02,Grzegorza Katarzyny
14,02,Cyryla Metodego Walentego
15,02,Jowity Faustyna Zygfryda
16,02,Danuty Julianny Daniela
17,02,Aleksego Zbigniewa Łukasza
18,02,Szymona Konstancji Flawiana
19,02,Arnolda Konrada Marcelego
20,02,Leona Ludomira Zenobiusza
21,02,Eleonory Fortunata Roberta
22,02,Marty Małgorzaty Piotra
23,02,Romany Damiana Polikarpa
24,02,Macieja Bogusza Sergiusza
25,02,Wiktora Cezarego
26,02,Mirosława Aleksandra
27,02,Gabriela Anastazji
28,02,Romana Ludomira Lecha
01,03,Antoniny Radosława Dawida
02,03,Heleny Halszki Pawła
03,03,Maryny Kunegundy Tycjana
04,03,Łucji Kazimierza Eugeniusza
05,03,Adriana Fryderyka Teofila
06,03,Róży Jordana Agnieszki
07,03,Tomasza Perpetuy Felicyty
08,03,Beaty Wincentego Jana
09,03,Franciszki Brunona
10,03,Cypriana Marcela Aleksandra
11,03,Ludosława Konstantyna Benedykta
12,03,Grzegorza Justyna Alojzego
13,03,Bożeny Krystyny
14,03,Leona Matyldy Łazarza
15,03,Longina Klemensa Ludwiki
16,03,Izabeli Oktawii Hilarego
17,03,Patryka Zbigniewa Gertrudy
18,03,Cyryla Edwarda Boguchwały
19,03,Józefa Bogdana
20,03,Klaudii Eufemii Maurycego
21,03,Lubomira Benedykta
22,03,Katarzyny Bogusława
23,03,Pelagii Oktawiana Feliksa
24,03,Marka Gabriela Katarzyny
25,03,Marioli Wieäczysława Ireneusza
